threshold,miss_rate,fpr
0.576,0.172384,0.054903
0.577,0.172813,0.054784
0.578,0.172813,0.054744
0.579,0.172813,0.054704
0.580,0.172813,0.054664
0.581,0.173027,0.054465
0.582,0.173242,0.054306
0.583,0.173242,0.054266
0.584,0.173242,0.054226
0.585,0.173242,0.054067
0.586,0.173885,0.053948
0.587,0.174099,0.053948
0.588,0.174099,0.053948
0.589,0.174314,0.053868
0.590,0.174528,0.053828
0.591,0.175386,0.053669
0.592,0.175386,0.053549
0.593,0.175386,0.053271
0.594,0.175386,0.053072
0.595,0.175600,0.052992
0.596,0.175815,0.052873
0.597,0.175815,0.052833
0.598,0.176029,0.052833
0.599,0.176029,0.052753
0.600,0.176244,0.052673
0.601,0.176458,0.052514
0.602,0.176672,0.052435
0.603,0.176672,0.052275
0.604,0.176672,0.052275
0.605,0.176672,0.052236
0.606,0.176887,0.052156
0.607,0.176887,0.052116
0.608,0.176887,0.052036
0.609,0.176887,0.051997
0.610,0.176887,0.051957
0.611,0.176887,0.051917
0.612,0.177101,0.051837
0.613,0.177101,0.051718
0.614,0.177101,0.051599
0.615,0.177101,0.051559
0.616,0.177101,0.051399
0.617,0.177316,0.051320
0.618,0.177316,0.051280
0.619,0.177316,0.051240
0.620,0.177316,0.051240
0.621,0.177530,0.051081
0.622,0.177530,0.050962
0.623,0.177530,0.050922
0.624,0.177530,0.050802
0.625,0.177530,0.050762
0.626,0.177744,0.050683
0.627,0.177744,0.050643
0.628,0.177744,0.050603
0.629,0.177744,0.050444
0.630,0.177744,0.050444
0.631,0.177744,0.050404
0.632,0.177744,0.050324
0.633,0.177959,0.050245
0.634,0.178388,0.050165
0.635,0.178388,0.050165
0.636,0.178388,0.050165
0.637,0.178602,0.050006
0.638,0.178602,0.049926
0.639,0.178816,0.049887
0.640,0.178816,0.049807
0.641,0.178816,0.049687
0.642,0.179245,0.049568
0.643,0.179460,0.049528
0.644,0.179674,0.049449
0.645,0.179674,0.049409
0.646,0.179674,0.049409
0.647,0.179674,0.049369
0.648,0.179674,0.049329
0.649,0.179889,0.049289
0.650,0.179889,0.049250
0.651,0.180103,0.049130
0.652,0.180317,0.049011
0.653,0.180532,0.048971
0.654,0.180532,0.048891
0.655,0.180532,0.048812
0.656,0.180961,0.048652
0.657,0.180961,0.048652
0.658,0.181175,0.048533
0.659,0.181175,0.048533
0.660,0.181175,0.048453
0.661,0.181175,0.048453
0.662,0.181389,0.048453
0.663,0.181389,0.048374
0.664,0.181389,0.048334
0.665,0.181389,0.048334
0.666,0.181389,0.048294
0.667,0.181604,0.048294
0.668,0.181604,0.048175
0.669,0.181604,0.048135
0.670,0.181818,0.048135
0.671,0.181818,0.048055
0.672,0.182033,0.047936
0.673,0.182033,0.047896
0.674,0.182033,0.047856
0.675,0.182033,0.047816
0.676,0.182033,0.047697
0.677,0.182247,0.047697
0.678,0.182247,0.047538
0.679,0.182247,0.047538
0.680,0.182461,0.047538
